store_name,igive_url,donation_rate
Cutter & Buck,https://www.iGive.com/cutter-buck,2.0%
CVS.com,https://www.iGive.com/cvs,0.8%
CyberLink,https://www.iGive.com/cyberlink,0.4%
Cylance,https://www.iGive.com/cylance,12.0%
D'Artagnan,https://www.iGive.com/dartagnan,0.4%
Daily Sale,https://www.iGive.com/daily-sale,2.0%
Dailygreatness,https://www.iGive.com/dailygreatnes,4.0%
DailySteals,https://www.iGive.com/daily-steals,1.2%
Dana Rebecca Designs,https://www.iGive.com/dana-rebecca,0.8%
Darn Tough,https://www.iGive.com/darn-tough,0.3%
Darphin Paris,https://www.iGive.com/darphin,2.4%
David's Cookies,https://www.iGive.com/davids-cookies,2.4%
DAVIDsTEA,https://www.iGive.com/davidstea,0.8%
DC Shoes,https://www.iGive.com/dc-shoes,1.2%
Dearfoams,https://www.iGive.com/dearfoams,0.4%
DeBragga,https://www.iGive.com/debragga,1.2%
Decadent Minimalist,https://www.iGive.com/decadent-minimalist,4.0%
DeepDiscount.com,https://www.iGive.com/deep-discount,1.6%
Dell Home & Home Office,https://www.iGive.com/deals.dell,1.6%
Dell Refurbished Computers,https://www.iGive.com/dell-refurbished,2.0%
Dell Technologies,https://www.iGive.com/dell,1.6%
Demdaco,https://www.iGive.com/demdaco,2.0%
Denby Pottery,https://www.iGive.com/denby,1.2%
Derma E,https://www.iGive.com/derma-e,2.0%
Dermalogica,https://www.iGive.com/dermalogica,2.0%
Design By Humans,https://www.iGive.com/design-by-humans,1.2%
Design Furnishings,https://www.iGive.com/design-furnishings,2.0%
Design It Yourself Gift Baskets,https://www.iGive.com/design-it-yourself,4.0%
Designer Optics,https://www.iGive.com/designer-optics,3.2%
Designtly.com,https://www.iGive.com/designtly,2.0%
DestinationXL,https://www.iGive.com/destination-xl,0.8%
Detox Organics,https://www.iGive.com/detox-organics,4.0%
DHgate,https://www.iGive.com/dhgate,0.8%
Di Bruno Bros.,https://www.iGive.com/di-bruno-bros,2.0%
Diane von Furstenberg,https://www.iGive.com/dvf,2.4%
Dick's Sporting Goods,https://www.iGive.com/dicks-sporting,0.8%
Diesel US,https://www.iGive.com/diesel,2.0%
Diet Direct,https://www.iGive.com/diet-direct,2.4%
Dinnerly,https://www.iGive.com/dinnerly,Special Rate
DIRECTV,https://www.iGive.com/directv,Special Rate
Discount School Supply,https://www.iGive.com/discount-school-supply,0.8%
DiscountContactLenses,https://www.iGive.com/discount-contact-lenses,0.4%
DiscountFilterStore.com,https://www.iGive.com/discount-filter-store,1.2%
DiscountMags.com,https://www.iGive.com/discount-mags,2.0%
DiscountMugs,https://www.iGive.com/discount-mugs,1.2%
Disney Movie Club,https://www.iGive.com/disney-movie-club,Special Rate
Disney Store,https://www.iGive.com/disney-store,0.8%
Dollar Tree,https://www.iGive.com/dollartree,1.6%
DollarDays,https://www.iGive.com/dollar-days,1.2%
Dooney & Bourke,https://www.iGive.com/dooney,2.0%
Dr. Brandt Skincare,https://www.iGive.com/dr-brandt-skincare,0.8%
Dr. Fuhrman,https://www.iGive.com/dr-fuhrman,4.0%
Dr. Kellyann,https://www.iGive.com/dr-kellyann,6.0%
Dr. Scholl's Shoes,https://www.iGive.com/dr-scholls-shoes,4.8%
Draper's & Damon's,https://www.iGive.com/drapers,0.4%
Driftaway Coffee,https://www.iGive.com/driftaway-coffee,1.6%
DTLR,https://www.iGive.com/dtlr,1.2%
Duradry,https://www.iGive.com/duradry,2.0%
Durango Boots,https://www.iGive.com/durango-boots,4.0%
