store_name,category,donation_rate,igive_url,actual_store_url
Black Halo,General Retail & Shopping,3.2%,https://www.iGive.com/black-halo,https://www.blackhalo.com
Blick Art Materials,"Toys, Crafts, Books & Music",1.2%,https://www.iGive.com/blick-art-materials,Manual Check Required
Blinds.ca,"Home, Garden & Appliances",0.8%,https://www.iGive.com/blind,Manual Check Required
Blinds.com,"Home, Garden & Appliances",0.8%,https://www.iGive.com/blinds,Manual Check Required
Blindsaver,"Home, Garden & Appliances",1.2%,https://www.iGive.com/blind-saver,Manual Check Required
Bliss,"Health, Beauty & Personal Care",1.2%,https://www.iGive.com/bliss,https://www.lens.com
Bloch Dance,General Retail & Shopping,2.0%,https://www.iGive.com/bloch-dance,Manual Check Required
Bloomingdale's,General Retail & Shopping,0.8%,https://www.iGive.com/bloomingdales,Manual Check Required
Blue Apron,General Retail & Shopping,6.0%,https://www.iGive.com/blue-apron,https://www.blueapron.com
Blue Sky,General Retail & Shopping,1.6%,https://www.iGive.com/blue-sky,https://www.bluesky.com
Blue Sky CBD,"Health, Beauty & Personal Care",6.0%,https://www.iGive.com/blue-sky-cbd,Manual Check Required
Blue Sky Vitamin,"Health, Beauty & Personal Care",1.2%,https://www.iGive.com/blueskyvitamin,https://blueskyvitamin.com
Bluebird Botanicals,General Retail & Shopping,2.4%,https://www.iGive.com/bluebird-botanicals,https://bluebirdbotanicals.com
Bluenotes,General Retail & Shopping,2.0%,https://www.iGive.com/blnts,https://blnts.com
Bluetti,General Retail & Shopping,2.0%,https://www.iGive.com/bluetti,https://www.bluetti.com
Bobbi Brown Cosmetics,"Health, Beauty & Personal Care",3.2%,https://www.iGive.com/bobbi-brown,Manual Check Required
BODi (formerly Beachbody),General Retail & Shopping,1.6%,https://www.iGive.com/beach-body,https://www.bodi.com
Bodum,General Retail & Shopping,4.0%,https://www.iGive.com/bodum,https://www.bodum.com
BodyGuardz,General Retail & Shopping,1.0%,https://www.iGive.com/bodyguardz,https://www.bodyguardz.com
Bogs Footwear,"Apparel, Shoes & Fashion",2.0%,https://www.iGive.com/bogs-footwear,https://www.bogsfootwear.com
Bombinate,General Retail & Shopping,2.8%,https://www.iGive.com/bombinate,Manual Check Required
Bonafide,General Retail & Shopping,4.0%,https://www.iGive.com/bonafide,https://wellsky.com
Bonobos,General Retail & Shopping,1.2%,https://www.iGive.com/bonobos,Manual Check Required
boohoo,General Retail & Shopping,1.2%,https://www.iGive.com/boohoo,Manual Check Required
Book Like a Boss,"Toys, Crafts, Books & Music",14.0%,https://www.iGive.com/book-like-a-boss,https://www.blab.co
Booking.com,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/booking,https://www.booking.com
Booksamillion.com,"Toys, Crafts, Books & Music",1.2%,https://www.iGive.com/books-a-million,https://www.booksamillion.com
BoomStreet,General Retail & Shopping,6.4%,https://www.iGive.com/boom-street,https://www.atom.com
Boscov's,General Retail & Shopping,1.6%,https://www.iGive.com/boscovs,https://www.boscovs.com
Boston College University Book Store,"Toys, Crafts, Books & Music",0.4%,https://www.iGive.com/bkstr,Manual Check Required
Boston Proper,General Retail & Shopping,0.4%,https://www.iGive.com/boston-proper,https://www.bostonproper.com
Botanic Choice Herbs & Vitamins,"Health, Beauty & Personal Care",3.2%,https://www.iGive.com/botanic-choice,https://www.botanicchoice.com
BoxLunch,General Retail & Shopping,0.4%,https://www.iGive.com/box-lunch,https://www.boxlunch.com
Brain Sensei,"Apparel, Shoes & Fashion",8.0%,https://www.iGive.com/brain-sensei,https://brainsensei.com
BrainMD Health,"Apparel, Shoes & Fashion",6.0%,https://www.iGive.com/brainmd,https://brainmd.com
Bright Local,General Retail & Shopping,6.0%,https://www.iGive.com/brightlocal,https://www.brightlocal.com
Brooks Brothers,General Retail & Shopping,0.8%,https://www.iGive.com/brooks-brothers,Manual Check Required
Brother Canada,General Retail & Shopping,1.6%,https://www.iGive.com/brothe,https://www.brothe.com
Buffalo Jackson,General Retail & Shopping,3.2%,https://www.iGive.com/buffalo-jackson,https://buffalojackson.com
BuffaloJeans.com,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/buffalo-jeans,https://www.buffalojeans.com
Bullstrap,General Retail & Shopping,4.0%,https://www.iGive.com/bullstra,https://bullstrap.com
Bumble and Bumble,General Retail & Shopping,2.4%,https://www.iGive.com/bumble-and-bumble,Manual Check Required
Burpee Gardening,"Home, Garden & Appliances",2.0%,https://www.iGive.com/burpee,Manual Check Required
BuyWake.com,General Retail & Shopping,3.6%,https://www.iGive.com/buywake,https://buywake.com
Cabela's,General Retail & Shopping,0.4%,https://www.iGive.com/cabelas,Manual Check Required
Caesars Entertainment Atlantic City,General Retail & Shopping,1.2%,https://www.iGive.com/caesars,https://www.caesars.com
Cafe Britt Gourmet Coffee,"Food, Wine & Gifts",3.2%,https://www.iGive.com/cafe-britt,https://www.cafebritt.com
Caire Beauty,"Health, Beauty & Personal Care",4.8%,https://www.iGive.com/caire-beauty,https://www.cairebeauty.com
Calendars.com,General Retail & Shopping,4.0%,https://www.iGive.com/calendars,https://www.calendars.com
Callaway Golf,"Sports, Outdoors & Fitness",3.6%,https://www.iGive.com/callaway-golf,https://www.callawaygolf.com
Callaway Golf Pre Owned,"Sports, Outdoors & Fitness",2.4%,https://www.iGive.com/callaway-golf-pre-owned,https://www.callawaygolfpreowned.com
Calm by Wellness,"Health, Beauty & Personal Care",6.0%,https://www.iGive.com/calm-by-wellness,https://www.calmbywellness.com
Calvin Klein,General Retail & Shopping,0.8%,https://www.iGive.com/calvin-klein,Manual Check Required
Cambria Hotels & Suites,"Travel, Hotels & Vehicles",0.8%,https://www.iGive.com/cambria,https://www.cambria.com
Cameron's Seafood,"Food, Wine & Gifts",0.8%,https://www.iGive.com/camerons-seafood,https://www.cameronsseafood.com
Cami NYC,General Retail & Shopping,1.2%,https://www.iGive.com/cami-nyc,https://www.caminyc.com
Camp Chef,General Retail & Shopping,2.0%,https://www.iGive.com/camp-chef,https://www.campchef.com
Camping World,"Sports, Outdoors & Fitness",0.8%,https://www.iGive.com/camping-world,https://www.campingworld.com
CAMPMOR,General Retail & Shopping,1.0%,https://www.iGive.com/campmor,https://www.campmor.com
Canadian Down & Feather Company,General Retail & Shopping,0.4%,https://www.iGive.com/canadian-down,Manual Check Required
Candlewood Suites,General Retail & Shopping,1.6%,https://www.iGive.com/candlewood-suites,Manual Check Required
Canon eStore,General Retail & Shopping,1.0%,https://www.iGive.com/canon,https://global.canon
Canon Shop Canada,General Retail & Shopping,1.2%,https://www.iGive.com/canon-estore-canada,Manual Check Required
Canvas HQ,General Retail & Shopping,4.0%,https://www.iGive.com/canvas-hq,Manual Check Required
Canvas On Demand,General Retail & Shopping,3.2%,https://www.iGive.com/canvas-on-demand,https://www.canvasondemand.com
Canvas Press,General Retail & Shopping,2.8%,https://www.iGive.com/canvas-press,Manual Check Required
Canvaspeople,General Retail & Shopping,3.2%,https://www.iGive.com/canvas-people,https://www.canvaspeople.com
CanvasWorld,General Retail & Shopping,4.0%,https://www.iGive.com/canvasworld,https://www.canvasworld.com
Capitol Lighting,"Home, Garden & Appliances",1.6%,https://www.iGive.com/1800lighting,Manual Check Required
Cardboard Cutout Standees,"Travel, Hotels & Vehicles",1.2%,https://www.iGive.com/cardboard-cutout,https://www.cardboardcutoutstandees.com
