store_name,igive_url,donation_rate,actual_store_url
Derma E,https://www.iGive.com/derma-e,2.0%,https://dermae.com
Dermalogica,https://www.iGive.com/dermalogica,2.0%,https://www.dermalogica.com
Design By Humans,https://www.iGive.com/design-by-humans,1.2%,Manual Check Required
Design Furnishings,https://www.iGive.com/design-furnishings,2.0%,https://www.design-furnishings.com
Design It Yourself Gift Baskets,https://www.iGive.com/design-it-yourself,4.0%,https://www.design-it-yourself.com
Designer Optics,https://www.iGive.com/designer-optics,3.2%,https://designeroptics.com
Designtly.com,https://www.iGive.com/designtly,2.0%,https://designtly.com
DestinationXL,https://www.iGive.com/destination-xl,0.8%,https://www.destination-xl.com
Detox Organics,https://www.iGive.com/detox-organics,4.0%,https://detoxorganics.com
DHgate,https://www.iGive.com/dhgate,0.8%,Manual Check Required
Di Bruno Bros.,https://www.iGive.com/di-bruno-bros,2.0%,Manual Check Required
Diane von Furstenberg,https://www.iGive.com/dvf,2.4%,https://www.dvf.com
Dick's Sporting Goods,https://www.iGive.com/dicks-sporting,0.8%,https://www.dickssportinggoods.com
Diesel US,https://www.iGive.com/diesel,2.0%,https://diesel.com
Diet Direct,https://www.iGive.com/diet-direct,2.4%,https://www.dietdirect.com
Dinnerly,https://www.iGive.com/dinnerly,Special Rate,https://dinnerly.com
DIRECTV,https://www.iGive.com/directv,Special Rate,Manual Check Required
Discount School Supply,https://www.iGive.com/discount-school-supply,0.8%,https://www.discountschoolsupply.com
DiscountContactLenses,https://www.iGive.com/discount-contact-lenses,0.4%,https://www.discountcontacts.com
DiscountFilterStore.com,https://www.iGive.com/discount-filter-store,1.2%,https://www.discountfilterstore.com
DiscountMags.com,https://www.iGive.com/discount-mags,2.0%,https://www.discountmags.com
